@RELATION DiggSocialDynamics_AuthorshipBasedFeatures
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorcomments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
97290, 1576, 26421, 615, 20976, A
7885, 24, 564, 123, 231, B
6570, 74, 459, 425, 83, B
1328, 16, 136, 26, 13, A
3593, 5, 195, 33, 47, C
11497, 18, 571, 44, 165, C
2665, 259, 355, 58, 118, A
4426, 48, 402, 161, 57, B
28266, 1051, 8871, 276, 2177, A
108053, 1205, 7385, 351, 1595, C
115800, 1166, 12264, 1991, 3103, C
43658, 930, 2596, 970, 4284, A
16387, 4852, 2807, 588, 4178, A
97290, 1576, 26421, 615, 20976, B
82024, 2682, 7305, 863, 1010, C
59648, 1268, 4852, 112, 796, B
93293, 496, 10073, 396, 1552, B
29463, 1554, 1797, 428, 4178, A
325505, 14513, 20355, 311, 2148, B
109470, 548, 6099, 283, 894, C
4834, 37, 338, 33, 78, B
4764, 8, 1143, 903, 81, B
94893, 24738, 3052, 949, 1864, A
50775, 757, 1800, 219, 163, C
766, 9, 132, 40, 33, A
2170, 4, 445, 442, 211, C
357, 143, 53, 11, 120, A
5084, 5536, 453, 120, 5034, A
766, 9, 132, 40, 33, B
960, 140, 214, 156, 32, A
372, 1, 107, 34, 15, C
54692, 303, 2239, 401, 2090, A
3687, 9, 457, 30, 85, C
139124, 4910, 10248, 308, 1537, B
93193, 482, 19935, 1605, 4426, B
147388, 29039, 12127, 397, 1404, C
960, 140, 214, 156, 32, A
197051, 1105, 11821, 227, 1037, C
219, 9, 46, 0, 14, A
219, 9, 46, 0, 14, A
2968, 2252, 917, 116, 594, A
15880, 904, 760, -214, 9777, A
4823, 2, 331, 38, 89, A
29463, 1554, 1797, 428, 4178, A
372, 1, 107, 34, 15, B
1346, 164, 445, 528, 1167, B
372, 1, 107, 34, 15, C
1926, 273, 226, 66, 98, C
82893, 121, 8760, 875, 1841, B
3902, 2, 542, 52, 123, B
17927, 281, 771, 75, 69, C
414, 0, 173, 150, 18, C
34365, 426, 1661, 96, 218, B
74111, 3551, 3051, 155, 1800, C
2430, 4, 229, 38, 45, B
234055, 8247, 18020, 364, 2073, C
2341, 56, 372, 65, 93, C
60326, 1112, 9794, 228, 1776, C
23780, 118, 3289, 1189, 306, B
3687, 9, 457, 30, 85, C
414, 0, 173, 150, 18, B
6096, 12, 735, 29, 147, B
1544, 244, 101, 26, 232, C
