@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
9,12,4,11,0,0,B
7,11,4,11,0,0,B
13,24,4,10,0,0,B
5,7,3,10,0,0,A
3,4,3,10,0,0,A
5,7,1,7,0,0,A
0,2,0,7,0,0,A
0,15,0,6,0,0,B
0,16,0,6,0,0,B
0,6,0,6,0,0,A
0,9,0,5,0,0,A
0,5,0,5,0,0,A
0,9,0,5,0,0,A
0,26,0,4,0,0,B
0,29,0,4,0,0,B
0,4,0,3,0,0,A
0,10,0,3,0,0,A
0,18,0,2,8,14,C
0,14,0,2,0,0,A
0,8,0,2,0,0,A
0,7,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,14,28,C
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,7,14,C
0,0,0,0,0,0,A
0,0,0,0,7,14,C
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
11,24,5,12,6,13,C
7,10,0,7,0,0,B
0,0,0,0,0,0,A
12,19,5,12,7,14,B
0,3,0,4,0,0,A
8,8,6,12,0,0,A
6,6,6,12,20,40,C
0,3,0,6,0,0,A
11,14,5,12,0,0,A
0,4,0,4,0,0,A
17,22,7,13,0,0,A
14,22,6,12,0,0,B
13,16,6,12,0,0,A
13,25,5,11,21,39,B
3,3,4,10,0,0,A
8,13,6,12,6,13,B
24,40,6,12,0,0,A
2,2,4,11,0,0,A
4,8,4,10,0,0,A
3,14,3,10,0,0,A
3,22,3,9,0,0,A
0,3,0,6,0,0,A
0,3,0,5,0,0,A
19,34,6,11,28,53,C
11,16,5,11,0,0,A
15,28,5,11,0,0,A
11,14,4,11,0,0,B
0,9,0,5,0,0,A
0,10,0,4,0,0,A
7,14,6,10,0,0,B
3,4,5,10,0,0,B
8,11,5,9,0,0,B
6,8,6,8,7,13,C
5,6,3,8,7,14,C
0,13,0,1,0,0,B
5,8,5,6,0,0,A
33,41,5,6,0,0,B
18,20,3,6,0,0,A
4,5,5,5,0,0,A
11,15,5,5,0,0,A
24,26,3,5,0,0,B
8,12,3,5,0,0,B
0,27,0,5,0,0,A
16,20,4,4,0,0,A
23,41,4,4,21,42,C
8,10,4,4,7,14,C
4,5,4,4,0,0,A
0,0,0,0,6,13,B
21,40,3,3,0,0,B
24,29,3,3,0,0,B
23,28,3,3,0,0,B
21,38,3,3,0,0,A
6,7,3,3,0,0,A
6,8,3,3,0,0,B
3,4,2,3,0,0,A
7,7,2,2,0,0,A
3,3,1,2,0,0,B
19,22,4,4,0,0,A
32,39,4,4,35,69,C
4,10,4,4,0,0,A
15,21,3,4,16,28,C
16,26,2,4,0,0,A
11,11,2,4,0,0,A
10,13,1,4,0,0,A
19,34,1,4,0,0,A
18,30,0,4,0,0,A
0,35,0,4,14,28,C
0,18,0,4,0,0,B
0,7,0,4,0,0,A
0,30,0,4,0,0,C
0,11,0,4,0,0,A
0,12,0,4,0,0,A
0,19,0,4,0,0,A
0,27,0,4,0,0,A
0,11,0,4,0,0,A
0,28,0,4,0,0,B
0,27,0,4,0,0,B
0,2,0,4,0,0,A
0,9,0,4,0,0,A
0,21,0,4,0,0,B
0,20,0,4,7,15,B
0,12,0,3,0,0,A
0,51,0,2,0,0,C
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,14,27,C
0,0,0,0,0,0,A
