@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
9,12,15,4,11,17,0,0,0,B
7,11,12,4,11,17,0,0,0,B
13,24,28,4,10,17,0,0,0,B
5,7,7,3,10,16,0,0,0,A
3,4,5,3,10,16,0,0,0,A
5,7,8,1,7,13,0,0,0,A
0,2,15,0,7,13,0,0,0,A
0,15,19,0,6,13,0,0,0,B
0,16,21,0,6,12,0,0,0,B
0,6,7,0,6,12,0,0,0,A
0,9,9,0,5,12,0,0,0,A
0,5,7,0,5,12,0,0,0,A
0,9,10,0,5,11,0,0,0,A
0,26,30,0,4,11,0,0,0,B
0,29,30,0,4,11,0,0,0,B
0,4,4,0,3,9,0,0,0,A
0,10,12,0,3,9,0,0,0,A
0,18,22,0,2,9,8,14,21,C
0,14,14,0,2,9,0,0,0,A
0,8,8,0,2,8,0,0,0,A
0,7,9,0,0,7,0,0,0,A
0,0,13,0,0,6,0,0,0,A
0,0,26,0,0,5,0,0,0,B
0,0,9,0,0,5,0,0,0,A
0,0,18,0,0,4,0,0,0,A
0,0,10,0,0,3,0,0,0,A
0,0,23,0,0,3,0,0,0,A
0,0,2,0,0,3,0,0,0,A
0,0,12,0,0,3,14,28,42,C
0,0,6,0,0,2,0,0,0,A
0,0,13,0,0,2,0,0,0,A
0,0,18,0,0,2,0,0,0,A
0,0,20,0,0,2,0,0,0,A
0,0,11,0,0,2,0,0,0,A
0,0,21,0,0,1,0,0,0,B
0,0,28,0,0,1,7,14,21,C
0,0,8,0,0,1,0,0,0,A
0,0,19,0,0,1,7,14,21,C
0,0,21,0,0,1,0,0,0,A
0,0,12,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,A
11,24,28,5,12,17,6,13,20,C
7,10,17,0,7,13,0,0,0,B
0,0,17,0,0,6,0,0,0,A
12,19,19,5,12,16,7,14,20,B
0,3,3,0,4,11,0,0,0,A
8,8,9,6,12,16,0,0,0,A
6,6,8,6,12,16,20,40,60,C
0,3,3,0,6,13,0,0,0,A
11,14,20,5,12,15,0,0,0,A
0,4,4,0,4,11,0,0,0,A
17,22,23,7,13,15,0,0,0,A
14,22,22,6,12,15,0,0,0,B
13,16,18,6,12,15,0,0,0,A
13,25,25,5,11,15,21,39,60,B
3,3,3,4,10,13,0,0,0,A
8,13,15,6,12,13,6,13,19,B
24,40,47,6,12,13,0,0,0,A
2,2,2,4,11,13,0,0,0,A
4,8,8,4,10,13,0,0,0,A
3,14,17,3,10,13,0,0,0,A
3,22,32,3,9,13,0,0,0,A
0,3,10,0,6,10,0,0,0,A
0,3,12,0,5,10,0,0,0,A
19,34,41,6,11,11,28,53,80,C
11,16,17,5,11,11,0,0,0,A
15,28,34,5,11,11,0,0,0,A
11,14,23,4,11,11,0,0,0,B
0,9,12,0,5,8,0,0,0,A
0,10,12,0,4,8,0,0,0,A
7,14,15,6,10,10,0,0,0,B
3,4,4,5,10,10,0,0,0,B
8,11,14,5,9,9,0,0,0,B
6,8,16,6,8,8,7,13,20,C
5,6,6,3,8,8,7,14,20,C
0,13,14,0,1,4,0,0,0,B
5,8,13,5,6,6,0,0,0,A
33,41,56,5,6,6,0,0,0,B
18,20,22,3,6,6,0,0,0,A
4,5,9,5,5,5,0,0,0,A
11,15,15,5,5,5,0,0,0,A
24,26,35,3,5,5,0,0,0,B
8,12,21,3,5,5,0,0,0,B
0,27,33,0,5,5,0,0,0,A
16,20,20,4,4,4,0,0,0,A
23,41,61,4,4,4,21,42,60,C
8,10,17,4,4,4,7,14,20,C
4,5,5,4,4,4,0,0,0,A
0,0,11,0,0,2,6,13,20,B
21,40,49,3,3,3,0,0,0,B
24,29,46,3,3,3,0,0,0,B
23,28,44,3,3,3,0,0,0,B
21,38,48,3,3,3,0,0,0,A
6,7,13,3,3,3,0,0,0,A
6,8,13,3,3,3,0,0,0,B
3,4,5,2,3,3,0,0,0,A
7,7,8,2,2,2,0,0,0,A
3,3,14,1,2,2,0,0,0,B
19,22,22,4,4,4,0,0,0,A
32,39,43,4,4,4,35,69,100,C
4,10,11,4,4,4,0,0,0,A
15,21,31,3,4,4,16,28,42,C
16,26,28,2,4,4,0,0,0,A
11,11,11,2,4,4,0,0,0,A
10,13,13,1,4,4,0,0,0,A
19,34,37,1,4,4,0,0,0,A
18,30,31,0,4,4,0,0,0,A
0,35,50,0,4,4,14,28,42,C
0,18,25,0,4,4,0,0,0,B
0,7,7,0,4,4,0,0,0,A
0,30,42,0,4,4,0,0,0,C
0,11,17,0,4,4,0,0,0,A
0,12,12,0,4,4,0,0,0,A
0,19,19,0,4,4,0,0,0,A
0,27,36,0,4,4,0,0,0,A
0,11,15,0,4,4,0,0,0,A
0,28,35,0,4,4,0,0,0,B
0,27,32,0,4,4,0,0,0,B
0,2,2,0,4,4,0,0,0,A
0,9,11,0,4,4,0,0,0,A
0,21,26,0,4,4,0,0,0,B
0,20,25,0,4,4,7,15,21,B
0,12,15,0,3,4,0,0,0,A
0,51,60,0,2,4,0,0,0,C
0,0,13,0,0,4,0,0,0,A
0,0,4,0,0,2,0,0,0,A
0,0,31,0,0,2,14,27,42,C
0,0,7,0,0,1,0,0,0,A
6,8,8,3,3,3,0,0,0,A
6,7,7,1,1,1,0,0,0,A
7,18,30,1,1,1,7,13,20,C
6,20,31,1,1,1,0,0,0,B
7,7,7,1,1,1,0,0,0,A
3,7,8,1,1,1,0,0,0,A
27,43,54,6,12,13,12,26,40,C
10,18,33,5,11,13,0,0,0,A
5,7,9,4,11,13,0,0,0,A
11,17,18,4,10,13,0,0,0,A
7,9,10,4,10,12,7,13,20,B
4,7,8,4,10,12,0,0,0,A
14,29,41,3,9,12,0,0,0,C
5,5,16,2,8,12,0,0,0,A
2,3,7,1,7,10,7,13,20,B
7,7,7,0,7,10,0,0,0,A
0,32,42,0,7,10,7,14,20,C
0,26,35,0,6,10,0,0,0,B
0,5,8,0,6,10,0,0,0,A
0,12,17,0,6,10,13,27,39,B
0,7,9,0,5,10,0,0,0,A
0,25,37,0,5,10,0,0,0,B
0,32,48,0,5,10,0,0,0,C
0,15,27,0,4,10,0,0,0,B
0,24,24,0,4,10,0,0,0,A
0,24,36,0,4,10,12,26,40,C
0,13,36,0,4,8,0,0,0,B
0,29,43,0,3,8,7,13,20,C
0,34,46,0,3,8,6,13,20,C
0,11,16,0,3,8,7,14,20,B
0,23,23,0,3,8,0,0,0,A
0,19,22,0,2,7,0,0,0,A
0,9,12,0,2,7,0,0,0,A
0,16,16,0,2,7,0,0,0,A
0,14,18,0,1,7,7,13,20,B
0,19,19,0,1,7,0,0,0,A
0,16,16,0,1,6,0,0,0,A
0,30,48,0,1,6,0,0,0,C
0,27,42,0,1,6,0,0,0,C
0,11,19,0,1,6,14,26,40,B
0,17,17,0,0,6,0,0,0,A
0,45,58,0,0,6,14,26,40,C
0,0,35,0,0,5,0,0,0,B
0,0,37,0,0,5,12,26,38,C
0,0,40,0,0,4,6,13,19,B
0,0,6,0,0,4,0,0,0,A
0,0,6,0,0,4,0,0,0,A
0,0,20,0,0,4,0,0,0,A
0,0,32,0,0,3,0,0,0,B
0,0,2,0,0,1,0,0,0,A
0,0,2,0,0,1,0,0,0,A
0,0,4,0,0,0,0,0,0,A
17,31,41,6,12,14,7,13,21,C
8,15,22,4,10,12,0,0,0,A
10,23,33,6,12,14,7,14,21,B
2,3,3,1,7,10,0,0,0,A
0,3,3,0,4,8,0,0,0,A
3,4,6,5,11,12,12,26,41,C
5,8,9,5,11,12,0,0,0,A
3,5,7,4,10,12,0,0,0,A
0,3,3,0,5,8,0,0,0,A
0,5,5,0,4,8,0,0,0,A
20,28,29,5,11,12,0,0,0,C
6,14,16,4,10,11,0,0,0,A
18,23,24,6,12,15,0,0,0,A
8,10,11,6,12,15,0,0,0,A
16,19,20,6,12,15,0,0,0,A
4,4,4,6,12,16,0,0,0,A
6,8,9,6,11,16,0,0,0,A
16,31,40,6,11,15,7,14,21,C
22,31,37,6,11,15,7,14,21,B
22,26,31,5,11,15,7,14,21,B
3,3,3,5,11,15,0,0,0,A
4,4,4,5,11,14,0,0,0,A
18,25,32,5,10,13,0,0,0,B
7,9,14,5,10,13,0,0,0,A
7,9,9,4,10,12,0,0,0,A
2,4,4,2,8,9,0,0,0,A
10,19,27,6,11,15,0,0,0,A
7,9,11,5,11,15,6,14,21,C
3,8,8,4,10,14,0,0,0,A
5,8,10,3,9,13,0,0,0,A
16,20,23,5,11,16,0,0,0,A
9,11,12,4,10,15,0,0,0,A
6,8,9,4,10,15,7,14,22,A
5,9,10,4,10,14,0,0,0,A
16,21,36,4,10,14,0,0,0,B
16,17,18,4,10,14,0,0,0,A
3,6,6,4,10,14,0,0,0,A
3,6,6,2,8,12,0,0,0,A
4,5,6,5,11,16,0,0,0,A
6,11,12,5,11,16,0,0,0,A
6,7,7,5,11,16,0,0,0,A
7,8,8,5,11,16,0,0,0,A
21,30,34,5,12,17,0,0,0,B
27,38,50,5,11,15,0,0,0,B
33,43,58,5,11,16,8,14,24,C
13,22,29,5,11,16,0,0,0,A
4,4,4,3,9,14,0,0,0,A
4,10,18,6,12,18,21,44,65,C
17,28,32,5,12,18,0,0,0,C
4,6,7,5,11,18,0,0,0,A
16,29,33,5,11,17,7,15,22,A
3,6,9,1,7,12,7,14,22,A
13,19,31,6,12,18,0,6,13,B
15,21,37,6,12,18,24,45,66,C
7,9,9,5,12,17,0,0,0,A
2,3,3,5,11,17,0,0,0,A
5,5,8,5,11,17,0,0,0,A
20,30,32,4,10,16,8,15,22,B
0,3,3,0,5,10,0,0,0,A
35,44,47,5,11,17,0,0,0,B
5,5,5,4,10,17,0,0,0,A
2,2,3,4,10,16,0,0,0,A
4,15,20,5,11,17,7,14,22,A
20,26,35,5,11,16,0,0,0,A
14,26,35,5,11,16,0,0,0,B
14,25,31,4,11,16,0,0,0,A
13,21,35,4,10,16,0,0,0,C
2,4,5,2,9,15,0,0,0,A
10,10,10,4,11,16,0,0,0,A
4,4,7,2,9,14,0,0,0,A
2,3,3,1,7,13,0,0,0,A
