@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,4,0,11,9,12,C
0,4,0,11,7,11,C
0,4,0,10,13,24,C
0,4,0,10,4,4,A
0,3,0,10,5,7,B
0,3,0,10,3,4,B
0,2,0,8,4,5,A
0,1,0,8,3,4,A
0,1,0,7,2,3,A
0,1,0,7,5,7,B
0,0,0,7,0,3,A
0,0,0,7,0,5,A
0,0,0,7,0,2,B
0,0,0,6,0,15,C
0,0,0,6,0,16,C
0,0,0,6,0,6,B
0,0,0,5,0,3,B
0,0,0,5,0,9,B
0,0,0,5,0,5,B
0,0,0,5,0,4,A
0,0,0,5,0,9,B
0,0,0,5,0,5,A
0,0,0,4,0,26,C
0,0,0,4,0,29,C
0,0,0,4,0,4,A
0,0,0,3,0,4,B
0,0,0,3,0,10,B
0,0,0,3,0,5,A
8,0,14,2,0,18,D
0,0,0,2,0,3,A
0,0,0,2,0,14,B
0,0,0,2,0,8,B
0,0,0,2,0,4,A
0,0,0,0,0,7,B
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,C
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,B
14,0,28,0,0,0,D
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,C
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
7,0,14,0,0,0,D
0,0,0,0,0,0,B
7,0,14,0,0,0,D
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,B
6,5,13,12,11,24,D
0,0,0,7,7,10,C
0,0,0,6,0,5,A
0,0,0,0,0,0,B
0,6,0,12,5,5,A
0,5,0,12,2,3,B
7,5,14,12,12,19,C
0,0,0,4,0,3,B
0,6,0,12,7,7,A
0,6,0,12,2,2,B
0,6,0,12,8,8,B
20,6,40,12,6,6,D
0,5,0,12,6,6,A
0,0,0,6,0,3,B
0,5,0,12,11,14,B
0,0,0,4,0,4,B
0,0,0,1,0,3,A
0,0,0,0,0,0,A
0,6,0,12,2,3,A
0,5,0,12,4,4,A
0,3,0,9,3,3,A
0,7,0,13,17,22,B
0,6,0,12,14,22,C
0,6,0,12,13,16,B
21,5,39,11,13,25,C
0,5,0,11,4,4,A
0,4,0,10,3,3,B
6,6,13,12,8,13,C
0,6,0,12,5,5,A
0,6,0,12,24,40,B
0,4,0,11,2,2,B
0,4,0,10,4,8,B
0,3,0,10,3,14,B
0,3,0,9,2,2,A
0,3,0,9,3,22,B
0,0,0,6,0,3,B
0,0,0,5,0,3,B
0,0,0,3,0,3,A
0,0,0,0,0,0,A
28,6,53,11,19,34,D
0,5,0,11,11,16,B
0,5,0,11,15,28,B
0,5,0,11,4,4,A
0,4,0,11,11,14,C
0,4,0,10,2,3,A
0,0,0,5,0,9,B
0,0,0,4,0,10,B
0,6,0,10,7,14,C
0,5,0,10,3,4,C
0,0,0,0,0,0,A
0,5,0,9,8,11,C
7,6,13,8,6,8,D
7,3,14,8,5,6,D
0,0,0,1,0,13,C
0,5,0,6,5,8,B
0,5,0,6,33,41,C
0,4,0,6,3,6,A
0,3,0,6,18,20,B
0,5,0,5,4,5,B
0,5,0,5,11,15,B
0,3,0,5,24,26,C
0,3,0,5,8,12,C
0,0,0,5,0,27,B
0,4,0,4,3,3,A
0,4,0,4,4,4,A
0,4,0,4,16,20,B
21,4,42,4,23,41,D
7,4,14,4,8,10,D
0,4,0,4,4,6,A
0,4,0,4,4,5,B
0,0,0,2,0,2,A
6,0,13,0,0,0,C
0,3,0,3,21,40,C
0,3,0,3,24,29,C
0,3,0,3,23,28,C
0,3,0,3,21,38,B
0,3,0,3,2,4,A
0,3,0,3,6,7,B
0,3,0,3,6,8,C
0,2,0,3,3,4,B
0,1,0,3,3,4,B
0,2,0,2,7,7,B
0,1,0,2,3,3,C
0,4,0,4,19,22,B
35,4,69,4,32,39,D
0,4,0,4,4,6,A
0,4,0,4,6,6,A
0,4,0,4,5,5,A
0,4,0,4,4,10,B
0,4,0,4,6,6,A
16,3,28,4,15,21,D
0,2,0,4,16,26,B
0,2,0,4,11,11,B
0,2,0,4,4,4,A
0,1,0,4,6,6,A
0,1,0,4,7,7,A
