@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,0,4,11,9,12,9892,138,668,135,144,C
0,0,4,11,7,11,25138,71,1933,99,300,C
0,0,4,10,13,24,97303,1576,26429,615,20977,C
0,0,4,10,4,4,3007,21,598,745,2924,A
0,0,3,10,5,7,25138,71,1933,99,300,B
0,0,3,10,3,4,25138,71,1933,99,300,B
0,0,2,8,4,5,9102,670,412,17,722,A
0,0,1,8,3,4,472,105,246,683,27,A
0,0,1,7,2,3,23358,84,753,38,9726,A
0,0,1,7,5,7,6819,0,12,0,2809,B
0,0,0,7,0,3,644,4,36,1,621,A
0,0,0,7,0,5,2439,5791,1017,183,679,A
0,0,0,7,0,2,17749,46,812,81,188,B
0,0,0,6,0,15,148237,1200,13869,488,3516,C
0,0,0,6,0,16,148237,1200,13869,488,3516,C
0,0,0,6,0,6,2572,0,3,0,768,B
0,0,0,5,0,3,3851,628,214,218,879,B
0,0,0,5,0,9,2572,0,3,0,768,B
0,0,0,5,0,5,16387,4852,2813,588,4178,B
0,0,0,5,0,4,24114,2653,1611,1117,10557,A
0,0,0,5,0,9,5377,0,3,0,3721,B
0,0,0,5,0,5,24114,2653,1611,1117,10557,A
0,0,0,4,0,26,1531,0,517,261,143,C
0,0,0,4,0,29,1531,0,517,261,143,C
0,0,0,4,0,4,2747,547,111,20,401,A
0,0,0,3,0,4,3851,628,214,218,879,B
0,0,0,3,0,10,6706,1139,454,133,957,B
0,0,0,3,0,5,161,64,29,22,48,A
8,14,0,2,0,18,148237,1200,13869,488,3516,D
0,0,0,2,0,3,6778,1756,764,45,1532,A
0,0,0,2,0,14,315,0,0,0,5,B
0,0,0,2,0,8,136,1,1,0,77,B
0,0,0,2,0,4,909,190,658,593,620,A
0,0,0,0,0,7,16387,4852,2813,588,4178,B
0,0,0,0,0,0,32911,3173,941,331,297,B
0,0,0,0,0,0,16387,4852,2813,588,4178,A
0,0,0,0,0,0,652,7,103,38,21,C
0,0,0,0,0,0,16387,4852,2813,588,4178,B
0,0,0,0,0,0,652,7,103,38,21,B
0,0,0,0,0,0,16387,4852,2813,588,4178,A
0,0,0,0,0,0,17439,3310,783,53,4709,A
0,0,0,0,0,0,16387,4852,2813,588,4178,B
0,0,0,0,0,0,17439,3310,783,53,4709,A
0,0,0,0,0,0,13128,69,1543,96,528,B
0,0,0,0,0,0,495,6,1,0,204,A
0,0,0,0,0,0,63426,4420,3163,668,4098,B
14,28,0,0,0,0,13128,69,1543,96,528,D
0,0,0,0,0,0,76527,214,1784,926,2152,B
0,0,0,0,0,0,24114,2653,1611,1117,10557,A
0,0,0,0,0,0,12160,1336,844,360,1717,B
0,0,0,0,0,0,16387,4852,2813,588,4178,B
0,0,0,0,0,0,163194,2959,8724,1131,2273,B
