@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE digg4  NUMERIC
@ATTRIBUTE digg5  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE upc4  NUMERIC
@ATTRIBUTE upc5  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE tpc4  NUMERIC
@ATTRIBUTE tpc5  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
9,12,15,26,37,4,11,17,18,18,0,0,0,0,0,B
7,11,12,14,17,4,11,17,18,18,0,0,0,0,0,B
13,24,28,36,45,4,10,17,18,18,0,0,0,0,0,B
5,7,7,8,11,3,10,16,17,17,0,0,0,0,0,A
3,4,5,7,7,3,10,16,17,17,0,0,0,0,0,A
5,7,8,8,8,1,7,13,15,15,0,0,0,0,0,A
0,2,15,38,38,0,7,13,14,14,0,0,0,0,0,A
0,15,19,22,26,0,6,13,14,14,0,0,0,0,0,B
0,16,21,25,30,0,6,12,14,14,0,0,0,0,0,B
0,6,7,7,7,0,6,12,14,14,0,0,0,0,0,A
0,9,9,10,10,0,5,12,12,12,0,0,0,0,0,A
0,5,7,8,8,0,5,12,12,12,0,0,0,0,0,A
0,9,10,10,10,0,5,11,11,11,0,0,0,0,0,A
0,26,30,31,32,0,4,11,11,11,0,0,0,0,0,B
0,29,30,30,30,0,4,11,11,11,0,0,0,0,0,B
0,4,4,4,4,0,3,9,9,9,0,0,0,0,0,A
0,10,12,12,12,0,3,9,9,9,0,0,0,0,0,A
0,18,22,22,23,0,2,9,9,9,8,14,21,28,34,C
0,14,14,14,14,0,2,9,9,9,0,0,0,0,0,A
0,8,8,8,8,0,2,8,9,9,0,0,0,0,0,A
0,7,9,15,18,0,0,7,9,9,0,0,0,0,0,A
0,0,13,14,15,0,0,6,7,7,0,0,0,0,0,A
0,0,26,37,41,0,0,5,7,7,0,0,0,0,0,B
0,0,9,9,10,0,0,5,7,7,0,0,0,0,0,A
0,0,18,23,26,0,0,4,7,7,0,0,0,0,0,A
0,0,10,10,10,0,0,3,5,5,0,0,0,0,0,A
0,0,23,29,32,0,0,3,5,5,0,0,0,0,0,A
0,0,2,2,4,0,0,3,5,5,0,0,0,0,0,A
0,0,12,12,14,0,0,3,4,4,14,28,42,56,68,C
0,0,6,8,8,0,0,2,4,4,0,0,0,0,0,A
0,0,13,14,14,0,0,2,4,4,0,0,0,0,0,A
0,0,18,22,25,0,0,2,4,4,0,0,0,0,0,A
0,0,20,22,26,0,0,2,4,4,0,0,0,0,0,A
0,0,11,12,12,0,0,2,4,4,0,0,0,0,0,A
0,0,21,23,27,0,0,1,4,4,0,0,0,0,0,B
0,0,28,30,32,0,0,1,3,3,7,14,21,28,34,C
0,0,8,8,8,0,0,1,3,3,0,0,0,0,0,A
0,0,19,22,22,0,0,1,3,3,7,14,21,28,34,C
0,0,21,26,30,0,0,1,3,3,0,0,0,0,0,A
0,0,12,12,13,0,0,0,3,3,0,0,0,0,0,A
0,0,0,6,6,0,0,0,1,1,0,0,0,0,0,A
11,24,28,31,35,5,12,17,17,17,6,13,20,26,33,C
7,10,17,22,26,0,7,13,14,14,0,0,0,0,0,B
0,0,17,25,25,0,0,6,8,8,0,0,0,0,0,A
12,19,19,19,19,5,12,16,16,16,7,14,20,27,34,B
0,3,3,3,3,0,4,11,12,12,0,0,0,0,0,A
8,8,9,10,10,6,12,16,16,16,0,0,0,0,0,A
6,6,8,11,24,6,12,16,16,16,20,40,60,79,100,C
0,3,3,3,3,0,6,13,13,13,0,0,0,0,0,A
11,14,20,24,29,5,12,15,15,15,0,0,0,0,0,A
0,4,4,4,5,0,4,11,12,12,0,0,0,0,0,A
17,22,23,24,24,7,13,15,15,15,0,0,0,0,0,A
