@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class NUMERIC
@DATA
9,12,15,4,11,17,0,0,0,9892,138,668,135,144,94
7,11,12,4,11,17,0,0,0,25138,71,1933,99,300,73
13,24,28,4,10,17,0,0,0,97303,1576,26429,615,20977,76
5,7,7,3,10,16,0,0,0,25138,71,1933,99,300,29
3,4,5,3,10,16,0,0,0,25138,71,1933,99,300,35
5,7,8,1,7,13,0,0,0,6819,0,12,0,2809,13
0,2,15,0,7,13,0,0,0,17749,46,812,81,188,38
0,15,19,0,6,13,0,0,0,148237,1200,13869,488,3516,87
0,16,21,0,6,12,0,0,0,148237,1200,13869,488,3516,84
0,6,7,0,6,12,0,0,0,2572,0,3,0,768,14
0,9,9,0,5,12,0,0,0,2572,0,3,0,768,16
0,5,7,0,5,12,0,0,0,16387,4852,2813,588,4178,12
0,9,10,0,5,11,0,0,0,5377,0,3,0,3721,17
0,26,30,0,4,11,0,0,0,1531,0,517,261,143,77
0,29,30,0,4,11,0,0,0,1531,0,517,261,143,82
0,4,4,0,3,9,0,0,0,3851,628,214,218,879,13
0,10,12,0,3,9,0,0,0,6706,1139,454,133,957,12
0,18,22,0,2,9,8,14,21,148237,1200,13869,488,3516,146
0,14,14,0,2,9,0,0,0,315,0,0,0,5,29
0,8,8,0,2,8,0,0,0,136,1,1,0,77,13
0,7,9,0,0,7,0,0,0,16387,4852,2813,588,4178,28
0,0,13,0,0,6,0,0,0,32911,3173,941,331,297,24
0,0,26,0,0,5,0,0,0,652,7,103,38,21,89
0,0,9,0,0,5,0,0,0,16387,4852,2813,588,4178,14
0,0,18,0,0,4,0,0,0,652,7,103,38,21,70
0,0,10,0,0,3,0,0,0,16387,4852,2813,588,4178,15
0,0,23,0,0,3,0,0,0,13128,69,1543,96,528,65
0,0,2,0,0,3,0,0,0,63426,4420,3163,668,4098,12
0,0,12,0,0,3,14,28,42,13128,69,1543,96,528,134
0,0,6,0,0,2,0,0,0,12160,1336,844,360,1717,15
0,0,13,0,0,2,0,0,0,16387,4852,2813,588,4178,20
0,0,18,0,0,2,0,0,0,163194,2959,8724,1131,2273,48
0,0,20,0,0,2,0,0,0,461,0,103,52,14,70
0,0,11,0,0,2,0,0,0,76527,214,1784,926,2152,19
0,0,21,0,0,1,0,0,0,461,0,103,52,14,71
0,0,28,0,0,1,7,14,21,95170,8068,4826,657,3630,127
0,0,8,0,0,1,0,0,0,11518,785,879,34,3358,29
0,0,19,0,0,1,7,14,21,668,6,65,23,4,155
0,0,21,0,0,1,0,0,0,12,0,53,62,1,45
0,0,12,0,0,0,0,0,0,31,0,3,2,2,17
0,0,0,0,0,0,0,0,0,2649,4,6,0,812,11
11,24,28,5,12,17,6,13,20,93204,482,19941,1605,4426,212
7,10,17,0,7,13,0,0,0,108069,1205,7386,351,1595,84
0,0,17,0,0,6,0,0,0,5947,36,764,1019,4680,68
12,19,19,5,12,16,7,14,20,2808,1,124,52,50,85
0,3,3,0,4,11,0,0,0,97,1,5,0,46,16
8,8,9,6,12,16,0,0,0,215,0,0,0,3,20
6,6,8,6,12,16,20,40,60,5191,3,1233,52,2597,431
0,3,3,0,6,13,0,0,0,26861,1232,1586,226,2254,11
11,14,20,5,12,15,0,0,0,1139,7,162,36,36,54
0,4,4,0,4,11,0,0,0,5821,443,1593,942,1742,32
17,22,23,7,13,15,0,0,0,52120,329,3954,301,678,63
14,22,22,6,12,15,0,0,0,52120,329,3954,301,678,79
13,16,18,6,12,15,0,0,0,97303,1576,26429,615,20977,67
13,25,25,5,11,15,21,39,60,2193,13,722,37,406,87
3,3,3,4,10,13,0,0,0,120,1,20,8,15,12
8,13,15,6,12,13,6,13,19,111719,177,4316,683,2355,88
24,40,47,6,12,13,0,0,0,5577,37,409,633,82,65
2,2,2,4,11,13,0,0,0,5096,510,286,2,3533,12
4,8,8,4,10,13,0,0,0,633,5,156,65,64,64
3,14,17,3,10,13,0,0,0,571,0,140,1142,56,18
3,22,32,3,9,13,0,0,0,52,0,24,0,44,32
0,3,10,0,6,10,0,0,0,364,1,139,172,26,18
0,3,12,0,5,10,0,0,0,364,1,139,172,26,21
19,34,41,6,11,11,28,53,80,226,0,377,247,38,146
11,16,17,5,11,11,0,0,0,646,11,224,19,62,33
15,28,34,5,11,11,0,0,0,52,0,24,0,44,60
11,14,23,4,11,11,0,0,0,23813,118,3292,1189,306,118
0,9,12,0,5,8,0,0,0,2261,5,89,14,215,17
0,10,12,0,4,8,0,0,0,2261,5,89,14,215,15
7,14,15,6,10,10,0,0,0,30561,2039,4395,935,530,96
3,4,4,5,10,10,0,0,0,29473,1554,1806,428,4179,87
8,11,14,5,9,9,0,0,0,89707,15817,14341,1551,2667,77
6,8,16,6,8,8,7,13,20,11553,18,574,44,166,157
5,6,6,3,8,8,7,14,20,1195,32,196,227,147,125
0,13,14,0,1,4,0,0,0,2572,108,72,87,9,72
5,8,13,5,6,6,0,0,0,248,4,92,138,36,17
33,41,56,5,6,6,0,0,0,3591,7,175,19,46,78
18,20,22,3,6,6,0,0,0,2463,12,218,573,77,24
4,5,9,5,5,5,0,0,0,594,7,162,36,290,13
11,15,15,5,5,5,0,0,0,434,1,40,15,21,15
24,26,35,3,5,5,0,0,0,686,0,41,10,8,94
8,12,21,3,5,5,0,0,0,89707,15817,14341,1551,2667,88
0,27,33,0,5,5,0,0,0,52,0,24,0,44,52
16,20,20,4,4,4,0,0,0,4451,48,407,161,59,52
23,41,61,4,4,4,21,42,60,13951,289,2957,224,552,258
8,10,17,4,4,4,7,14,20,82931,121,8762,875,1841,153
4,5,5,4,4,4,0,0,0,1909,0,2,0,435,12
0,0,11,0,0,2,6,13,20,2805,16,711,1229,394,75
21,40,49,3,3,3,0,0,0,4878,43,337,41,97,73
24,29,46,3,3,3,0,0,0,8695,11,895,511,148,85
23,28,44,3,3,3,0,0,0,3624,5,199,33,48,77
21,38,48,3,3,3,0,0,0,1139,7,162,36,36,56
6,7,13,3,3,3,0,0,0,22,4,90,54,9,29
6,8,13,3,3,3,0,0,0,82931,121,8762,875,1841,115
3,4,5,2,3,3,0,0,0,6937,1151,539,1005,4452,29
7,7,8,2,2,2,0,0,0,2324,0,4,0,956,15
3,3,14,1,2,2,0,0,0,4239,0,407,211,3210,111
19,22,22,4,4,4,0,0,0,182,0,35,7,33,22
32,39,43,4,4,4,35,69,100,5577,37,409,633,82,132
4,10,11,4,4,4,0,0,0,119,1,96,53,87,15
15,21,31,3,4,4,16,28,42,23813,118,3292,1189,306,170
16,26,28,2,4,4,0,0,0,1037,2,58,7,40,34
11,11,11,2,4,4,0,0,0,2253,5,134,59,153,12
10,13,13,1,4,4,0,0,0,1243,2,91,59,53,17
19,34,37,1,4,4,0,0,0,1545,1,56,6,17,39
18,30,31,0,4,4,0,0,0,1545,1,56,6,17,33
0,35,50,0,4,4,14,28,42,836,8,72,244,17,146
0,18,25,0,4,4,0,0,0,2456,3,83,24,4,73
0,7,7,0,4,4,0,0,0,2649,4,6,0,812,16
0,30,42,0,4,4,0,0,0,836,8,72,244,17,137
0,11,17,0,4,4,0,0,0,217898,11753,11736,183,2468,54
0,12,12,0,4,4,0,0,0,2524,39,798,11,2499,14
0,19,19,0,4,4,0,0,0,364,1,139,172,26,19
0,27,36,0,4,4,0,0,0,1581,3,88,153,38,38
0,11,15,0,4,4,0,0,0,138783,711,8161,290,1434,65
0,28,35,0,4,4,0,0,0,93170,477,3652,109,360,90
0,27,32,0,4,4,0,0,0,93170,477,3652,109,360,87
0,2,2,0,4,4,0,0,0,5038,4036,568,103,635,13
0,9,11,0,4,4,0,0,0,1909,13,165,176,1210,28
0,21,26,0,4,4,0,0,0,24435,298,2051,140,382,102
0,20,25,0,4,4,7,15,21,42718,451,3034,199,387,117
0,12,15,0,3,4,0,0,0,138783,711,8161,290,1434,55
0,51,60,0,2,4,0,0,0,7995,26,568,124,235,136
0,0,13,0,0,4,0,0,0,166,0,60,342,12,13
0,0,4,0,0,2,0,0,0,487,232,357,391,328,15
0,0,31,0,0,2,14,27,42,120966,17053,7637,27,12057,203
0,0,7,0,0,1,0,0,0,163,93,54,55,64,13
6,8,8,3,3,3,0,0,0,27,0,2,3,26,12
6,7,7,1,1,1,0,0,0,231,0,0,0,9,21
7,18,30,1,1,1,7,13,20,76499,142,4644,391,1088,150
6,20,31,1,1,1,0,0,0,76499,142,4644,391,1088,79
7,7,7,1,1,1,0,0,0,2872,15,797,709,2632,17
3,7,8,1,1,1,0,0,0,82,0,12,10,81,18
27,43,54,6,12,13,12,26,40,79247,379,1789,1438,1328,186
10,18,33,5,11,13,0,0,0,325505,14513,20359,311,2148,57
5,7,9,4,11,13,0,0,0,54741,303,2240,401,2090,21
11,17,18,4,10,13,0,0,0,9896,138,669,135,144,33
